StreamerID,Average viewer in December 2018,Total minute streamed in December 2018,Most streamed game title (Game Title 1),Average viewer of Game Title 1,Most number of viewer of Game Title 1,Total streamed minutes of Game Title 1,Game title which had most number of viewer (Game Title 2),Average viewer of Game Title 2,Most number of viewer of Game Title 2,Total streamed minutes of Game Title 2,Game title which has most number of average viewer (Game Title 3),Average viewer of Game Title 3,Most number of viewer of Game Title 3,Total streamed minutes of Game Title 3
potoing777,283,4657,Dungeon Fighter Online,543,1708,40743,Dungeon Fighter Online,543,1708,40743,IRL,581,889,776
maruemon1019,717,3147,IRL,1181,4364,35891,IRL,1181,4364,35891,Goat Simulator,2672,3503,120
uskki,176,19903,Lost Ark Online,167,340,21707,Football Manager 2017,207,2288,2562,Fallout 76,289,383,850
godbokihs,269,8041,Hearthstone,801,6152,140966,IRL,394,9670,36543,Rockman,1052,3766,675
snsn__,192,15147,PLAYERUNKNOWN'S BATTLEGROUNDS,161,9317,47277,PLAYERUNKNOWN'S BATTLEGROUNDS,161,9317,47277,Hunt: Showdown,429,434,30
axenix,161,14388,PLAYERUNKNOWN'S BATTLEGROUNDS,67,323,85414,They Are Billions,232,1347,25613,XCOM 2: War of the Chosen,290,724,23101
iwt2hw,328,11088,The Binding of Isaac: Afterbirth,306,1048,37669,The Binding of Isaac,328,1158,15851,The Binding of Isaac: Rebirth,471,862,445
kim_ruvy,181,13436,World of Warcraft,162,947,274788,World of Warcraft,162,947,274788,World of Warcraft,162,947,274788
lds7131,225,16245,PLAYERUNKNOWN'S BATTLEGROUNDS,941,15710,272561,PLAYERUNKNOWN'S BATTLEGROUNDS,941,15710,272561,Golfing Over It with Alva Majo,1010,1219,30
queenmico,595,2953,IRL,654,3772,101753,IRL,654,3772,101753,Lost Ark Online,1520,1807,600
dakong_,181,15576,IRL,68,2262,58425,IRL,68,2262,58425,Late Shift,232,305,210
tkdtn307,614,6928,Hearthstone,578,3376,62899,Hearthstone,578,3376,62899,Hearthstone,578,3376,62899
cjh99287444,128,18442,Black Desert Online,129,1284,335548,Black Desert Online,129,1284,335548,Fortnite,157,299,90
haljeossi,197,11141,World of Warcraft,277,802,41088,World of Warcraft,277,802,41088,World of Warcraft,277,802,41088
yeunda,197,9658,PLAYERUNKNOWN'S BATTLEGROUNDS,219,2254,116967,PLAYERUNKNOWN'S BATTLEGROUNDS,219,2254,116967,Dead Space 3,375,410,35
zoodasa,932,5728,Just Chatting,502,3563,17807,Just Chatting,502,3563,17807,Art,692,730,25
maknoonlol,158,10603,League of Legends,165,2116,263108,League of Legends,165,2116,263108,Tooth and Tail,188,198,20
nokduro,370,8303,Super Mario Maker,403,1082,51091,Monster Hunter World,480,1864,29704,E3 2018,889,1014,95
kiwian,237,10965,StarCraft II,215,2180,168693,StarCraft II,215,2180,168693,StarCraft II,215,2180,168693
hanana0408,204,10328,IRL,216,2163,110902,IRL,216,2163,110902,Lovers in a Dangerous Spacetime,887,917,20
rngudwnswkd,199,10599,PLAYERUNKNOWN'S BATTLEGROUNDS,78,643,119251,Outlast,264,2481,2660,Emily Wants to Play Too,652,688,85
hejin0_0,242,7851,League of Legends,159,847,145522,League of Legends,159,847,145522,Layers of Fear,364,416,190
